step,em
1100,0.03433268858800774
2100,0.16876208897485492
3100,0.22775628626692457
4100,0.29593810444874274
5100,0.32108317214700194
6100,0.35009671179883944
7100,0.3650870406189555
7800,0.40377176015473887
8800,0.3607350096711799
9800,0.3757253384912959
10800,0.43278529980657643
11800,0.42504835589941975
12800,0.4385880077369439
13600,0.4724371373307544
14600,0.4927466150870406
15600,0.480174081237911
16600,0.49806576402321084
17600,0.5029013539651838
18600,0.5159574468085106
19300,0.5019342359767892
20300,0.5106382978723404
21300,0.4946808510638298
22000,0.5130560928433269
23000,0.5294970986460348
24000,0.5275628626692457
25000,0.5498065764023211
26000,0.5270793036750484
27000,0.4995164410058027
28000,0.531431334622824
29100,0.5072533849129593
30100,0.528046421663443
31100,0.531431334622824
32100,0.5223191951401679
33600,0.5258644080857859
34600,0.5196767395587908
35600,0.5091674591808923
36300,0.5276580440918972
37300,0.5041228377538244
38300,0.5145365175659613
39300,0.52902455156633
40000,0.5193047268124649
