time,dev_exact_match
0.378210786,0.3858800773694391
1.255505911,0.5091876208897486
2.044371476,0.5125725338491296
2.7325114,0.5275628626692457
3.392306473,0.5372340425531915
4.116572024,0.5333655705996132
4.827097835,0.5212765957446809
5.511799413,0.539651837524178
6.17578127,0.5623791102514507
6.87782142,0.5440038684719536
7.57267182,0.5299806576402321
8.947210531,0.5401353965183753
10.01520934,0.5473887814313346
10.91952203,0.5551257253384912
11.78878583,0.5570599613152805
12.68930891,0.5493230174081238
13.52445807,0.5498065764023211
14.50327841,0.558027079303675
15.2930296,0.5556092843326886
16.09871216,0.5759187620889749
16.79519768,0.5454545454545454
17.53464577,0.5556092843326886
18.21812773,0.5643133462282398
18.9034021,0.5512572533849129
19.56382907,0.566247582205029
20.27020411,0.5696324951644101
20.97985571,0.5735009671179884
21.65628186,0.5783365570599613
22.35697446,0.5609284332688588
23.05240418,0.5759187620889749
23.74570748,0.5710831721470019
24.44854064,0.566247582205029
25.12282153,0.574468085106383
25.8184471,0.5681818181818182
26.54218136,0.5676982591876208
27.21329443,0.5551257253384912
27.91572415,0.5701160541586073
28.62440551,0.5599613152804642
29.30349219,0.5440038684719536
29.96867146,0.5730174081237911
30.66332216,0.5647969052224371
31.33510662,0.5556092843326886
32.15488409,0.5502901353965184
32.96659656,0.5657640232108317
33.80056758,0.5691489361702128
34.52494476,0.5643133462282398
35.33061256,0.5691489361702128
36.2537459,0.5691489361702128
